contig	length	gc
contig_33691	59097	0.42898962722304007
contig_51429	67454	0.49364011029738786
contig_57830	16073	0.4814906986872395
contig_66417	4506	0.3710608078118065
contig_73110	15417	0.6113381332295518
contig_80951	89434	0.5120312185522284
contig_81463	220733	0.6615503798707035
contig_78830	8081	0.3167924761786908
contig_24624	7218	0.5127459129952896
contig_55591	27159	0.35645642328509886
contig_55516	10887	0.4201341048957472
contig_60937	5605	0.5347011596788581
contig_7025	136331	0.39864007452450284
contig_54547	13036	0.48741945382019025
contig_70945	24951	0.39040519418059394
contig_80117	35346	0.4036383183387088
contig_81839	12146	0.4804050716285197
contig_57255	49462	0.5283652096558975
contig_39549	9727	0.399403721599671
contig_5645	3404	0.4145123384253819
contig_50226	22131	0.6114500022592744
contig_77098	11092	0.3827984132708258
contig_17729	9844	0.4182242990654206
contig_72350	8468	0.36124232404345774
contig_18687	17953	0.526207319111012
contig_10272	4016	0.6379482071713147
contig_61725	150759	0.4187345365782474
contig_15231	68445	0.5402001607129813
contig_65998	6701	0.3572601104312789
contig_24848	6854	0.4358039101254742
contig_68685	26641	0.4081303254382343
contig_82357	36238	0.638832165130526
contig_63598	25296	0.362152118912081
contig_48224	31489	0.34389786909714504
contig_48859	11679	0.4993578217313126
contig_47976	4455	0.593939393939394
contig_41719	29374	0.48723360795261117
contig_58114	6929	0.47496031173329484
contig_61125	6205	0.36390008058017725
contig_62921	3434	0.5894001164822364
contig_67676	8904	0.48742138364779874
contig_75543	6844	0.5955581531268265
contig_23493	147538	0.6016077214005883
contig_48674	7628	0.38188253801782907
contig_75480	3020	0.6579470198675497
contig_8262	11274	0.42025900301578856
contig_37742	6673	0.6745092162445676
contig_75360	7805	0.46739269698910957
contig_39558	4007	0.3910656351385076
contig_38399	4543	0.2852740479859124
contig_44502	12463	0.4222097408328653
contig_72928	4315	0.3633835457705678
contig_83452	36946	0.5097168841011206
contig_45819	3302	0.42004845548152636
contig_58996	33474	0.6832168249985063
contig_42044	108198	0.60667479990388
contig_69610	5745	0.5411662315056571
contig_21616	5254	0.32432432432432434
contig_77209	6910	0.4683068017366136
contig_69456	11211	0.359022388725359
contig_27932	10542	0.516505406943654
contig_73686	4570	0.47308533916849016
contig_17559	9295	0.40710059171597635
contig_46661	33902	0.3558492124358445
contig_61633	13416	0.5902653548002386
contig_51676	3894	0.4714946070878274
contig_62376	16975	0.4160824742268041
contig_14946	19997	0.40921138170725607
contig_65887	8856	0.5962059620596206
contig_7698	111176	0.429867957113046
contig_78781	24630	0.32025984571660576
contig_68088	9006	0.5834998889629136
contig_47241	4369	0.3229571984435798
contig_45401	31146	0.6440313362871637
contig_83602	51684	0.6506075381162448
contig_52801	23970	0.5620775969962453
contig_9063	11125	0.6064719101123596
contig_59026	39802	0.621903421938596
contig_21858	8565	0.5270286047869235
contig_49819	106235	0.24050454181766837
contig_18780	4006	0.5302046929605592
contig_68785	7046	0.3248651717286404
contig_40676	30630	0.5206986614430297
contig_69536	5995	0.5654712260216848
contig_35813	3568	0.6569506726457399
contig_44639	27291	0.3971639001868748
contig_59498	3639	0.3632866172025282
contig_82750	41379	0.5721984581551028
contig_16726	16491	0.5247104481232188
contig_82909	11937	0.4380497612465444
contig_67749	3914	0.44992335206949413
contig_48380	37856	0.5767645815722738
contig_15688	20524	0.3486162541414929
contig_35116	442407	0.6672362779069951
contig_57978	46001	0.53479272189735
contig_57193	27688	0.45723779254550706
contig_73342	19205	0.6408227024212445
contig_68369	6280	0.5554140127388535
contig_27197	71421	0.36077624228168187
contig_69044	15321	0.6248286665361269
contig_73069	11856	0.6614372469635628
contig_58674	17157	0.6608964271142974
contig_24649	3704	0.44681425485961124
contig_37788	5567	0.32063948266570863
contig_83534	37836	0.4530870070832012
contig_7254	7539	0.5187690675155856
contig_50694	16073	0.5957195296459902
contig_49741	6379	0.36196896065213985
contig_61311	8794	0.6532863315897203
contig_23635	28456	0.6099240933370819
contig_29122	3987	0.33985452721344367
contig_75327	13587	0.5960108927651432
contig_41282	42842	0.6178749824938145
contig_24529	64093	0.48591889909974567
contig_53948	4364	0.2834555453712191
contig_77331	5307	0.34821933295647256
contig_34597	17746	0.5493632367857545
contig_58773	15492	0.45552543248128063
contig_42341	53143	0.3908887341700694
contig_71391	15604	0.44975647269930785
contig_43033	6647	0.42771174966150144
contig_52994	7590	0.4965744400527009
contig_70916	9033	0.5609432082364663
contig_78700	11059	0.6233836694095307
contig_64037	3025	0.5920661157024794
contig_62523	28584	0.5287223621606493
contig_15004	3565	0.44656381486676017
contig_75656	24578	0.4444218406705184
contig_48032	51495	0.5375279153315856
contig_80891	18045	0.2688833471875866
contig_30566	17183	0.43898038759238783
contig_80524	17084	0.48940529150081946
contig_13543	6512	0.3141891891891892
contig_43814	4528	0.5326855123674912
contig_81145	4265	0.4084407971864009
contig_70352	20903	0.38764770607089893
contig_66575	5247	0.4585477415666095
contig_77050	3071	0.6232497557798763
contig_67999	10089	0.38437902666270196
contig_18416	4835	0.3344364012409514
contig_69898	14688	0.5012254901960784
contig_79851	8159	0.31449932589778157
contig_29298	7969	0.39716401054084577
contig_56244	7142	0.4852982357882946
contig_44393	3382	0.6493199290360734
contig_26950	8568	0.6638655462184874
contig_59781	42091	0.45149794492884465
contig_79483	4001	0.3241689577605599
contig_77623	18415	0.4425739885962531
contig_27839	3766	0.548858204992034
contig_44043	3020	0.5158940397350993
contig_51926	49292	0.5955936054532176
contig_49264	13530	0.4762749445676275
contig_79134	18695	0.4882054025140412
contig_63248	3478	0.3522139160437033
contig_67214	7180	0.4006963788300836
contig_18204	4679	0.3359692241932037
contig_45060	3859	0.4358642135268204
contig_14031	24708	0.4161809940100372
contig_24389	15431	0.4229797161557903
contig_42140	10086	0.5010906206623041
contig_59087	4256	0.3994360902255639
contig_79416	13917	0.5050657469282173
contig_62968	6963	0.5599597874479391
contig_12383	3619	0.36225476651008565
contig_66507	7667	0.4704578061823399
contig_37957	3864	0.3969979296066253
contig_45342	5530	0.45479204339963836
contig_73481	4593	0.4441541476159373
contig_81201	18669	0.596121913332262
contig_53242	18719	0.3126235375821358
contig_49152	3542	0.6346696781479391
contig_70121	3865	0.37257438551099614
contig_49304	15444	0.511007511007511
contig_44911	23181	0.5198222682369181
contig_65811	19038	0.3114822985607732
contig_77734	50984	0.40502902871489094
contig_71173	7597	0.5610109253652757
contig_8857	3642	0.44700713893465127
contig_35266	12901	0.29858150530966593
contig_81027	7905	0.3872232764073371
contig_22675	37648	0.32578091797705055
contig_41331	150558	0.6401785358466504
contig_43640	7321	0.35459636661658245
contig_44944	3307	0.4717266404596311
contig_75504	18423	0.4436845247788091
contig_50361	21318	0.5735528661225255
contig_79477	174924	0.3877283848985845
contig_91	20585	0.5978139421909158
contig_44808	18029	0.6485107327084142
contig_6247	3238	0.75633106856084
contig_35494	8111	0.38084083343607444
contig_66154	6478	0.3738808274158691
contig_20865	17670	0.33621958121109224
contig_60224	7221	0.38637307852098046
contig_15499	32688	0.3204539892315223
contig_44510	7150	0.5243356643356644
contig_72857	9538	0.4454812329628853
contig_63624	5579	0.45689191611399893
contig_80165	9305	0.5454056958624396
contig_55920	37502	0.5660764759212842
contig_66076	15378	0.51222525686045
contig_19625	5392	0.5331973293768546
contig_59372	12493	0.3602017129592572
contig_4664	18478	0.38846195475700834
contig_55190	25979	0.6541052388467609
contig_34993	10061	0.40492992744260015
contig_14903	359027	0.5401125820620734
contig_6349	15096	0.4990726020137785
contig_66599	20998	0.3228402705019526
contig_60264	6560	0.5660060975609756
contig_41020	18669	0.5540735979431143
contig_22628	11860	0.3739460370994941
contig_72011	15946	0.3601530164304528
contig_37011	26807	0.4349983213339799
contig_41297	3216	0.6343283582089553
contig_81943	30384	0.483774354923644
contig_68958	4938	0.4505872823005265
contig_52244	9032	0.6343002657218778
contig_56475	5872	0.3688692098092643
contig_72509	63659	0.5032281374196893
contig_25985	3004	0.4347536617842876
contig_70649	7921	0.5447544501956824
contig_33273	4678	0.4258230012825994
contig_71010	3237	0.4411492122335496
contig_67747	5471	0.6123195028331201
contig_57917	281068	0.6014487597307413
contig_67358	15361	0.37191589089252003
contig_57239	29972	0.39937274789803817
contig_36260	15163	0.40974741146211174
contig_58435	35550	0.5217721518987342
contig_58533	24900	0.5524899598393574
contig_67827	4504	0.5257548845470693
contig_80206	11109	0.3238815374921235
contig_30656	20769	0.45047907939717846
contig_52128	25767	0.49194706407420347
contig_68300	37347	0.5165876777251185
contig_240	21262	0.5951933026055874
contig_39731	100266	0.4820178325653761
contig_59173	3970	0.5984886649874055
contig_76098	3756	0.4715122470713525
contig_41437	11974	0.5132787706697846
contig_38991	8133	0.48911840649206934
contig_14767	3569	0.4614738021854861
contig_62252	5941	0.5667396061269147
contig_4708	34987	0.4863806556721068
contig_67186	38563	0.6019241241604647
contig_56046	15348	0.3767266093302059
contig_47090	47161	0.49210152456478873
contig_62500	7805	0.5678411274823831
contig_4774	5257	0.4386532242723987
contig_82322	35733	0.4438474239498503
